w1,w2,w3,s1,s2,eq_check
2,3,2,unsigned,signed,True
2,3,2,signed,unsigned,True
2,3,2,unsigned,unsigned,True
3,3,2,signed,signed,True
3,3,2,unsigned,signed,True
3,3,2,signed,unsigned,True
3,3,2,unsigned,unsigned,True
4,3,2,signed,signed,True
4,3,2,unsigned,signed,True
4,3,2,signed,unsigned,True
4,3,2,unsigned,unsigned,True
5,3,2,signed,signed,True
5,3,2,unsigned,signed,True
5,3,2,signed,unsigned,True
5,3,2,unsigned,unsigned,True
6,3,2,signed,signed,True
6,3,2,unsigned,signed,True
6,3,2,signed,unsigned,True
6,3,2,unsigned,unsigned,True
7,3,2,signed,signed,True
7,3,2,unsigned,signed,True
7,3,2,signed,unsigned,True
7,3,2,unsigned,unsigned,True
8,3,2,signed,signed,True
8,3,2,unsigned,signed,True
8,3,2,signed,unsigned,True
8,3,2,unsigned,unsigned,True
1,3,3,signed,signed,False
1,3,3,unsigned,signed,False
1,3,3,signed,unsigned,False
1,3,3,unsigned,unsigned,True
2,3,3,signed,signed,False
2,3,3,unsigned,signed,False
2,3,3,signed,unsigned,True
2,3,3,unsigned,unsigned,True
3,3,3,signed,signed,False
3,3,3,unsigned,signed,False
3,3,3,signed,unsigned,True
3,3,3,unsigned,unsigned,True
4,3,3,signed,signed,False
4,3,3,unsigned,signed,False
4,3,3,signed,unsigned,True
4,3,3,unsigned,unsigned,True
5,3,3,signed,signed,False
5,3,3,unsigned,signed,False
5,3,3,signed,unsigned,True
5,3,3,unsigned,unsigned,True
6,3,3,signed,signed,False
6,3,3,unsigned,signed,False
6,3,3,signed,unsigned,True
6,3,3,unsigned,unsigned,True
7,3,3,signed,signed,False
7,3,3,unsigned,signed,False
7,3,3,signed,unsigned,True
7,3,3,unsigned,unsigned,True
8,3,3,signed,signed,False
8,3,3,unsigned,signed,False
8,3,3,signed,unsigned,True
8,3,3,unsigned,unsigned,True
1,3,4,signed,signed,False
1,3,4,unsigned,signed,False
1,3,4,signed,unsigned,False
1,3,4,unsigned,unsigned,True
2,3,4,signed,signed,False
2,3,4,unsigned,signed,False
2,3,4,signed,unsigned,False
2,3,4,unsigned,unsigned,True
3,3,4,signed,signed,False
3,3,4,unsigned,signed,False
3,3,4,signed,unsigned,True
3,3,4,unsigned,unsigned,True
4,3,4,signed,signed,False
4,3,4,unsigned,signed,False
4,3,4,signed,unsigned,True
4,3,4,unsigned,unsigned,True
5,3,4,signed,signed,False
5,3,4,unsigned,signed,False
5,3,4,signed,unsigned,True
5,3,4,unsigned,unsigned,True
6,3,4,signed,signed,False
6,3,4,unsigned,signed,False
6,3,4,signed,unsigned,True
6,3,4,unsigned,unsigned,True
7,3,4,signed,signed,False
7,3,4,unsigned,signed,False
7,3,4,signed,unsigned,True
7,3,4,unsigned,unsigned,True
8,3,4,signed,signed,False
8,3,4,unsigned,signed,False
8,3,4,signed,unsigned,True
8,3,4,unsigned,unsigned,True
1,3,5,signed,signed,False
1,3,5,unsigned,signed,False
1,3,5,signed,unsigned,False
1,3,5,unsigned,unsigned,True
2,3,5,signed,signed,False
2,3,5,unsigned,signed,False
2,3,5,signed,unsigned,False
2,3,5,unsigned,unsigned,True
3,3,5,signed,signed,False
3,3,5,unsigned,signed,False
3,3,5,signed,unsigned,False
3,3,5,unsigned,unsigned,True
4,3,5,signed,signed,False
4,3,5,unsigned,signed,False
4,3,5,signed,unsigned,True
4,3,5,unsigned,unsigned,True
5,3,5,signed,signed,False
5,3,5,unsigned,signed,False
5,3,5,signed,unsigned,True
5,3,5,unsigned,unsigned,True
6,3,5,signed,signed,False
6,3,5,unsigned,signed,False
6,3,5,signed,unsigned,True
6,3,5,unsigned,unsigned,True
7,3,5,signed,signed,False
7,3,5,unsigned,signed,False
7,3,5,signed,unsigned,True
7,3,5,unsigned,unsigned,True
8,3,5,signed,signed,False
8,3,5,unsigned,signed,False
8,3,5,signed,unsigned,True
8,3,5,unsigned,unsigned,True
1,3,6,signed,signed,False
1,3,6,unsigned,signed,False
1,3,6,signed,unsigned,False
1,3,6,unsigned,unsigned,True
2,3,6,signed,signed,False
2,3,6,unsigned,signed,False
2,3,6,signed,unsigned,False
2,3,6,unsigned,unsigned,True
3,3,6,signed,signed,False
3,3,6,unsigned,signed,False
3,3,6,signed,unsigned,False
3,3,6,unsigned,unsigned,True
4,3,6,signed,signed,False
4,3,6,unsigned,signed,False
4,3,6,signed,unsigned,False
4,3,6,unsigned,unsigned,True
5,3,6,signed,signed,False
5,3,6,unsigned,signed,False
5,3,6,signed,unsigned,True
5,3,6,unsigned,unsigned,True
6,3,6,signed,signed,False
6,3,6,unsigned,signed,False
6,3,6,signed,unsigned,True
6,3,6,unsigned,unsigned,True
7,3,6,signed,signed,False
7,3,6,unsigned,signed,False
7,3,6,signed,unsigned,True
7,3,6,unsigned,unsigned,True
8,3,6,signed,signed,False
8,3,6,unsigned,signed,False
8,3,6,signed,unsigned,True
8,3,6,unsigned,unsigned,True
1,3,7,signed,signed,False
1,3,7,unsigned,signed,False
1,3,7,signed,unsigned,False
1,3,7,unsigned,unsigned,True
2,3,7,signed,signed,False
2,3,7,unsigned,signed,False
2,3,7,signed,unsigned,False
2,3,7,unsigned,unsigned,True
3,3,7,signed,signed,False
3,3,7,unsigned,signed,False
3,3,7,signed,unsigned,False
3,3,7,unsigned,unsigned,True
4,3,7,signed,signed,False
4,3,7,unsigned,signed,False
4,3,7,signed,unsigned,False
4,3,7,unsigned,unsigned,True
5,3,7,signed,signed,False
5,3,7,unsigned,signed,False
5,3,7,signed,unsigned,False
5,3,7,unsigned,unsigned,True
6,3,7,signed,signed,False
6,3,7,unsigned,signed,False
6,3,7,signed,unsigned,True
6,3,7,unsigned,unsigned,True
7,3,7,signed,signed,False
7,3,7,unsigned,signed,False
7,3,7,signed,unsigned,True
7,3,7,unsigned,unsigned,True
8,3,7,signed,signed,False
8,3,7,unsigned,signed,False
8,3,7,signed,unsigned,True
8,3,7,unsigned,unsigned,True
1,3,8,signed,signed,False
1,3,8,unsigned,signed,False
1,3,8,signed,unsigned,False
1,3,8,unsigned,unsigned,True
2,3,8,signed,signed,False
2,3,8,unsigned,signed,False
2,3,8,signed,unsigned,False
2,3,8,unsigned,unsigned,True
3,3,8,signed,signed,False
3,3,8,unsigned,signed,False
3,3,8,signed,unsigned,False
3,3,8,unsigned,unsigned,True
4,3,8,signed,signed,False
4,3,8,unsigned,signed,False
4,3,8,signed,unsigned,False
4,3,8,unsigned,unsigned,True
5,3,8,signed,signed,False
5,3,8,unsigned,signed,False
5,3,8,signed,unsigned,False
5,3,8,unsigned,unsigned,True
6,3,8,signed,signed,False
6,3,8,unsigned,signed,False
6,3,8,signed,unsigned,False
6,3,8,unsigned,unsigned,True
7,3,8,signed,signed,False
7,3,8,unsigned,signed,False
7,3,8,signed,unsigned,True
7,3,8,unsigned,unsigned,True
8,3,8,signed,signed,False
8,3,8,unsigned,signed,False
8,3,8,signed,unsigned,True
8,3,8,unsigned,unsigned,True
1,4,1,signed,signed,True
1,4,1,unsigned,signed,True
1,4,1,signed,unsigned,True
1,4,1,unsigned,unsigned,True
2,4,1,signed,signed,True
2,4,1,unsigned,signed,True
2,4,1,signed,unsigned,True
2,4,1,unsigned,unsigned,True
3,4,1,signed,signed,True
3,4,1,unsigned,signed,True
3,4,1,signed,unsigned,True
3,4,1,unsigned,unsigned,True
4,4,1,signed,signed,True
4,4,1,unsigned,signed,True
4,4,1,signed,unsigned,True
4,4,1,unsigned,unsigned,True
